season,firstName,lastName,position,origin,destination,transferDate,rating,stars,eligibility
2023,Sebastian,Benjamin,EDGE,Saint Francis (PA),,2022-11-28T18:32:00.000Z,,,Immediate
2023,Jeremiah,Banks-Wall,OT,Bowling Green,,2023-01-02T14:03:00.000Z,,3,Immediate
2023,Markus,Allen,WR,Wisconsin,,2022-10-17T23:02:00.000Z,0.87,3,Immediate
2023,Malik,Jackson,RB,Louisiana Monroe,,2022-12-01T14:09:00.000Z,,3,Immediate
2023,Mike,Smith,LB,Liberty,Baylor,2022-12-05T20:54:00.000Z,0.88,3,Immediate
2023,Khyree,Jackson,CB,Alabama,Oregon,2022-11-23T18:56:00.000Z,0.89,3,Immediate
2023,Brett,Gabbert,PRO,Miami (OH),Miami (OH),2022-11-23T14:37:00.000Z,0.89,3,Immediate
2023,Ryan,Campbell,WR,Texas A&M,,2022-12-06T19:21:00.000Z,,,Immediate
2023,Elijah,Collins,RB,Michigan State,Oklahoma State,2023-01-04T18:20:00.000Z,0.87,3,Immediate
2023,Keyshawn,Helton,WR,Florida State,Cincinnati,2022-12-07T19:21:00.000Z,0.85,3,Immediate
2023,Kamonte,Grimes,WR,Nebraska,Northern Iowa,2022-12-02T22:42:00.000Z,,3,Immediate
2023,Javon,Swinton,WR,Indiana,Eastern Michigan,2022-12-27T18:02:00.000Z,,3,Immediate
2023,Noah,Plack,LB,Delaware,Connecticut,2023-02-01T21:43:00.000Z,,,Immediate
2023,Joe,Fagnano,PRO,Maine,Connecticut,2023-02-01T21:43:00.000Z,,,Immediate
2023,Jaden,Hullaby,RB,New Mexico,,2022-12-09T16:52:00.000Z,,3,Immediate
2023,Tony,Grimes,WR,Akron,,2023-01-11T23:33:00.000Z,,,Immediate
